Fecha: 2024-05-30 15:05:03.660049, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:03.743832, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:03.767938, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:03.783786, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:03.801404, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:08.931578, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:08.994293, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:09.681072, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:09.773402, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:09.780371, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:09.870386, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:09.876583, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:12.880401, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:12.897484, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:18.813219, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:21.819861, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:21.829923, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:23.730463, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:28.801309, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:28.811604, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:28.842464, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:33.980122, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:34.062898, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:34.097314, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:34.115011, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:34.117907, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:34.187185, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:34.222830, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:34.229252, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:36.998122, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:39.855968, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:39.895556, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
